"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGHD1-26",28.9617217869206,2.05523119752632,0.37669137668,5.45600808715152,4.8695776044323e-08,3.30660551266301e-05
"MIXL1",127.440574728767,1.36186887313879,0.250010813517038,5.44723987727026,5.11574506462765e-08,3.36170460359774e-05
"CD27",1789.07419233576,1.27305193196495,0.235978248609304,5.3947850679775,6.86056254416476e-08,4.36739123709939e-05
"IGLV6-57",131315.857525064,1.38667217510127,0.25779890659591,5.37889083166214,7.49461347886349e-08,4.62644761145237e-05
"MIR296",18.1553568597957,2.14843028528152,0.400215353148536,5.36818557404056,7.95326975288559e-08,4.76517818047154e-05
"TRP-AGG2-8",862.157017035203,1.58518046998587,0.299445846603741,5.29371333068965,1.19857272138995e-07,6.97603568783849e-05
"IGFLR1",822.507798729301,1.07302689203545,0.203151398598858,5.28190748100257,1.27845759885161e-07,7.23429437394614e-05
"MIR3124",87984.7745962201,1.51545272595783,0.287491445878422,5.27129675572575,1.35463238877201e-07,7.45816659234448e-05
"ZBP1",287.69768175657,1.47244336056547,0.280096227705536,5.25691964017967,1.46488283022111e-07,7.85292845643004e-05
"IGLL5",236607.800443808,1.40571929909161,0.27125471004294,5.18228530988119,2.19183590545569e-07,0.000114465889140217
"ISG20",1415.25878512331,0.925795405451655,0.178807940572522,5.17759671347574,2.24762435109159e-07,0.000114465889140217
"MIR1285-2",1585.15761001511,1.37937851396776,0.267610747485891,5.15442121411988,2.54415495788895e-07,0.000126407269871112
"MAL",415.741265546725,-1.8950462877672,0.368624966903908,-5.14085169999131,2.73495863598125e-07,0.000132652005651367
"PGLYRP2",21.2182170348082,1.69528918831276,0.33045671619342,5.13013991012514,2.8952690482635e-07,0.000137161687865525
"MIR8071-2",45.2662194488503,1.64678117937198,0.323268087832537,5.0941656209043,3.50280459796794e-07,0.000162171891966375
"CIBAR2",111.229111195133,1.96422774109263,0.390696269481623,5.02750574941188,4.96900593509498e-07,0.000220051347616999
"S100A8",2058.35102609164,-2.93026587756841,0.582845013714356,-5.027521568546,4.96859617259227e-07,0.000220051347616999
"IGHG3",1956.29293942285,1.68126752462507,0.336085829466069,5.00249453330437,5.65931873994869e-07,0.000245289323513819
"PNOC",201.689365269376,1.39385195497469,0.279867254072329,4.98040386895163,6.34517153984185e-07,0.000269286436329413
"TASL",172.898933442917,1.05861163716641,0.212927197915747,4.97170698496342,6.63659580843537e-07,0.000275906312680892
"ANKRD36BP2",406.550192028469,1.23765200044824,0.249438449893854,4.9617530936987,6.98597642567214e-07,0.000284622651534734
"IGLVIV-59",277702.913369586,1.33486551067745,0.269566281879,4.95190088824473,7.3492034493227e-07,0.000293550242090495
"KRT16",75.9023053548836,-1.59113532886793,0.323739546657818,-4.91486241113973,8.88448323720924e-07,0.000348049630817672
"MIR8080",479.088709841989,1.31662580258196,0.269020480320575,4.89414709620999,9.87329729823374e-07,0.000379488564645886
"B2M",267190.588836974,1.02617294842917,0.210178987879524,4.88237648673703,1.04814892204063e-06,0.000388215303470723
