"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR558",1697.89517433781,2.02813120669633,0.323274036827971,6.27372128797215,3.52519307158535e-10,1.31678791223809e-07
"MS4A7",510.821637481218,0.959689014203454,0.152986600573779,6.27302659582032,3.54096392573682e-10,1.31678791223809e-07
"IRF1",1187.5030109011,0.91162898731671,0.145567259897999,6.26259632801703,3.78619840222254e-10,1.38284135572603e-07
"APOBEC3G",715.03465690789,1.14149897646031,0.182427385382541,6.25727861015298,3.91753194962665e-10,1.40570668360901e-07
"HLA-DRA",16298.0339837725,1.10359853922213,0.176630134993824,6.24807618054936,4.15539003770454e-10,1.46534814553743e-07
"HLA-DQB1",3123.90698291956,1.06958154783906,0.171506511800867,6.23639030733087,4.4778304492093e-10,1.55228925724878e-07
"MIR4753",34186.9031982809,1.40676043938888,0.225825734905649,6.22940711330635,4.68203653790694e-10,1.59602822183018e-07
"CD2",401.772979344631,1.20152753448069,0.193162958233632,6.22027921640872,4.9627093792992e-10,1.62897042785003e-07
"CXCR4",466.331504224295,1.30096719140859,0.209207385265135,6.21855289553874,5.01760802594004e-10,1.62897042785003e-07
"MIR4742",433133.421167291,1.36365111165115,0.219193344930155,6.22122497416914,4.93288238427323e-10,1.62897042785003e-07
"BIN2",311.638546411966,1.24188724694621,0.199953937255129,6.2108666825682,5.26931648414332e-10,1.68395828203411e-07
"CD180",173.938960007906,1.39900836025081,0.22539815587798,6.20683143924284,5.40635312292694e-10,1.70117139112653e-07
"MIR1285-2",1008.13070445193,1.47164225971076,0.237395244165246,6.19912275364027,5.67787361991915e-10,1.75953862345767e-07
"TRAV26-2",695.100214372284,1.30243210262621,0.210547807725256,6.18592098724559,6.17409286469524e-10,1.88475703524794e-07
"EVI2B",886.595428838343,1.00547387428175,0.163018588966604,6.167847977679,6.92256491255736e-10,2.082165002302e-07
"CD86",181.340729981435,1.02937487333146,0.166999894580738,6.16392528819112,7.0963434714182e-10,2.08421444040211e-07
"JAML",285.394484440289,1.1130192128426,0.180593885576489,6.16310574020621,7.13318392549492e-10,2.08421444040211e-07
"LINC02245",9.48841340669108,1.57675393348171,0.256408162015054,6.14939056966971,7.77812286952492e-10,2.24064714155483e-07
"MIR329-1",28141.3622459385,1.48905051123053,0.242421559201578,6.14240134472679,8.12831625512713e-10,2.26867799023228e-07
"SLA2",75.3329954934137,1.25197440725767,0.2038333045417,6.14214840932209,8.14127367001446e-10,2.26867799023228e-07
"THEMIS2",390.433660646287,0.915170511063344,0.149029981227016,6.14084832815802,8.20819299257757e-10,2.26867799023228e-07
"CD79A",2485.58867226949,1.54029009475455,0.251326621463165,6.12863884369805,8.86340623858847e-10,2.417109970638e-07
"MIR941-3",3914.82151608239,1.65186742874821,0.269893202625671,6.12044843174236,9.33123785445424e-10,2.51120799785727e-07
"CASP10",250.203566408356,0.872777416343021,0.142753448177704,6.11387975200823,9.72375870070966e-10,2.58285761955344e-07
"ANKRD36BP2",287.032124001144,1.42207457349574,0.23351709473855,6.08980929249704,1.13045268013108e-09,2.9642498290668e-07
