"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PTPRCAP",356.953149477856,2.85585651448836,0.345256961075226,8.27168409753252,1.32079884152385e-16,8.84687574038194e-14
"HCP5",570.650667452151,1.28348512859342,0.155439244669892,8.25714980357228,1.49192133283347e-16,9.13652624227216e-14
"MAP4K1",267.834171647043,1.4092751198368,0.170571402619923,8.26208319912236,1.43151865540951e-16,9.13652624227216e-14
"TRAV26-2",668.822169395155,1.55064124243705,0.187761658138712,8.25856172026073,1.4743822278418e-16,9.13652624227216e-14
"FCRLA",208.048723754268,1.93782295556363,0.234793625981966,8.25330307609146,1.54075658981761e-16,9.17349354059742e-14
"SNX20",233.574956842767,1.43923462206067,0.174603273284954,8.24288454038217,1.68107778475176e-16,9.73843817253221e-14
"UBD",760.170463820569,2.199492898084,0.268857288517054,8.18089370095124,2.81746369859046e-16,1.5891978135681e-13
"GBP4",651.221737428244,1.22564888453537,0.150003001527425,8.17082906378564,3.0627733674518e-16,1.63080049705576e-13
"GZMK",229.448171415158,2.11860283183225,0.259404649603248,8.16717369974899,3.15698188816654e-16,1.63080049705576e-13
"IGLVIV-65",10512.1137188866,2.16326360342279,0.264732505989441,8.17150729313564,3.04560090773086e-16,1.63080049705576e-13
"ZBTB32",29.5889910455573,3.0109859120607,0.368735446710448,8.16570779653061,3.19555943250639e-16,1.63080049705576e-13
"KIR3DX1",8.36647855035549,2.20537651448364,0.270674526885839,8.14770617633255,3.70892188839587e-16,1.84876818036923e-13
"CD69",62.1676411991834,1.74235928702613,0.214165818547895,8.13556196240751,4.10031852650023e-16,1.99741425675014e-13
"CD79A",2459.97868903643,1.83908737347921,0.226364100840566,8.12446570215888,4.49337360800647e-16,2.1402437758669e-13
"LILRB4",232.338041480326,1.46788609593527,0.181754546125978,8.07620016787828,6.68161690207288e-16,3.11334297128326e-13
"TNFRSF9",41.2644728396495,2.04296872263183,0.254225779139613,8.03604075694422,9.27878920075708e-16,4.23152271763888e-13
"SLAMF6",167.460315139606,1.92028251001533,0.24081075829212,7.97423887385417,1.5332274357696e-15,6.84649934547618e-13
"TLR9",87.8453961617108,1.59840806587668,0.200513236782002,7.97158377935154,1.56653638669554e-15,6.85247773723108e-13
"PCED1B-AS1",215.363933023681,1.86980787604556,0.235279454877599,7.94717871570344,1.90807051618772e-15,8.17951668879352e-13
"PSMB9",1078.34459847589,1.43950174568267,0.181481356332474,7.93195386442616,2.15724583310171e-15,9.06635435033374e-13
"CD38",402.630258629758,1.55124430647054,0.197445117781137,7.85658477607967,3.94748723464656e-15,1.62712387283489e-12
"CD3E",338.555220120436,1.35258295837088,0.172409343185157,7.84518363902289,4.32320382199602e-15,1.69935977153064e-12
"GBP5",240.782752627195,1.68246242368917,0.214487544273249,7.84410315941598,4.36058539862767e-15,1.69935977153064e-12
"MS4A1",560.402190386821,2.73202952519996,0.348230122020527,7.84547157881682,4.31329526490687e-15,1.69935977153064e-12
"HLA-DQA1",2129.04438494084,1.67785955005074,0.214922510954702,7.80681159268781,5.86528481064083e-15,2.24493776127278e-12
"ZC3H12D",59.2984329025348,1.63362258526721,0.210731962128239,7.75213483881993,9.03603647367233e-15,3.39786676801215e-12
"MIR3124",56126.025866529,1.73814800911886,0.224553259076889,7.74047108585362,9.90491270644278e-15,3.5983372703372e-12
"RBP5",83.3540735970668,1.78784670391001,0.23091498831382,7.7424454643034,9.75226081018454e-15,3.5983372703372e-12
"GPSM3",545.104633774595,1.26309667060341,0.163808000953904,7.71083624272328,1.24995967290572e-14,4.46527260484352e-12
"MIR4671",12455.4906829626,1.9247589617922,0.249893236835753,7.70232514558721,1.33612380962616e-14,4.61910931218179e-12
"SLA2",72.2774152845203,1.41221117097387,0.183336160392296,7.70285124305034,1.3306323209288e-14,4.61910931218179e-12
"KLHDC7B",46.0927900135935,2.02414157278568,0.263402193783739,7.68460407906685,1.53470866276919e-14,5.22141991711027e-12
"IGHVIII-22-2",8362.00565361055,2.19609137843783,0.286325223158916,7.66991938121692,1.72104487539777e-14,5.76388685301185e-12
"CD86",177.420055753793,1.16547822269266,0.152158597377466,7.65962780138816,1.8647270524988e-14,6.14900917588606e-12
"CD53",929.842656539573,1.20847251430401,0.158259928691127,7.63599809691916,2.24077632381905e-14,7.1753604169966e-12
"CD72",51.5511133403489,2.14143471755927,0.280443939500474,7.63587446879253,2.24292781533438e-14,7.1753604169966e-12
"HLA-DRA",15871.4317353292,1.22904064720947,0.161154844384328,7.6264579690723,2.4129154858962e-14,7.60565154774986e-12
"HLA-DQB1",3034.93271130768,1.18971635913388,0.156369821226779,7.60835019059382,2.77616793169852e-14,8.62382368811973e-12
"APOL3",638.723279747497,0.815138648895961,0.107379102224663,7.5912224260405,3.16901423085377e-14,9.70352157487423e-12
"CLEC17A",25.2092978420918,2.23499173758009,0.295797425007761,7.55581877537118,4.16233056789755e-14,1.25655483651149e-11
"CD22",126.762471391068,1.90724795672611,0.252778759171121,7.54512745841506,4.5184536678643e-14,1.34511855440283e-11
"CTSS",3377.91955787021,0.797462431307712,0.106654047935936,7.47709483831992,7.59835822887969e-14,2.23100288051791e-11
"MIR4429",41022.7018082051,1.74258423322149,0.233256725692382,7.47067090155247,7.97869717989743e-14,2.31101885613408e-11
"GBP1",583.174117457546,1.30930653328386,0.17532291938412,7.46797131763055,8.14405890137781e-14,2.32746344656176e-11
"SRGN",1591.93010504319,1.13640832762365,0.152359293277877,7.45873981937573,8.7353907524512e-14,2.46361007089525e-11
"HLA-E",19424.1220440744,0.781580269024213,0.104896389298741,7.45097399681032,9.26536250394704e-14,2.57913999882598e-11
"LILRB2",138.95258692818,1.20574303954698,0.162554937667492,7.41744949029687,1.19397198479148e-13,3.2085429438926e-11
"MIR6765",7353.58789148287,1.8439207116618,0.248605581656603,7.41705274424927,1.1975526523813e-13,3.2085429438926e-11
"MIR6838",17.1613280709391,2.14480203789102,0.289113164798626,7.41855542754314,1.18404625324344e-13,3.2085429438926e-11
"BCL2A1",74.8187422577048,2.07337196695715,0.28037691651428,7.39494532122636,1.4146647437252e-13,3.74344742185257e-11
"ADAMDEC1",267.323304659422,2.80526727921595,0.380446205616581,7.37362401780172,1.66051071813701e-13,4.33579348236712e-11
"C1QB",1967.71100828857,1.20900874843577,0.163996751455768,7.3721505926406,1.67897200259621e-13,4.33579348236712e-11
"MFNG",420.674669311338,0.89206667139168,0.12105722337375,7.36896689458611,1.71955351940049e-13,4.38772739700359e-11
"CD27",1341.92915025698,1.37721353004065,0.187121957448507,7.35997821324435,1.83940247248591e-13,4.63832383473681e-11
