"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR548O",27.4480107831542,1.96149088806156,0.25974382458769,7.551636275377,4.29823476414751e-14,1.56288187110604e-11
"TAP1",1328.82329353497,1.14146173889547,0.151608679857954,7.52899992246447,5.11304138667721e-14,1.82816794780644e-11
"HLA-B",34963.0957997828,1.16948507656927,0.155510986088642,7.52027304297754,5.46619643833563e-14,1.92239856051827e-11
"ZC3H12D",55.6494505158263,1.57793419035245,0.209921334476255,7.51678810678929,5.61382904190104e-14,1.94247539412747e-11
"IFI44L",1336.99293179689,1.60302101960046,0.214020537587989,7.49003360923446,6.88559794930302e-14,2.34471004454599e-11
"EVI2B",917.563999836003,1.11708783924224,0.149251821076677,7.48458431651792,7.17739430398143e-14,2.40588500005177e-11
"CD27",1395.39583849875,1.47130356247487,0.197687982804589,7.44255438090651,9.87567832072e-14,3.25942964637548e-11
"MIR6765",8219.49067459956,1.97614988229014,0.265699095246485,7.43754840586452,1.02571003850395e-13,3.33402385697353e-11
"PSMB8-AS1",353.584275259036,1.19247971363207,0.160467694647885,7.43127591038639,1.0755509434977e-13,3.44384990908302e-11
"BST2",887.353815374413,1.25181698685738,0.169028690969108,7.40594380563574,1.30220970875991e-13,4.10828012970977e-11
"CD48",496.003144831344,1.37385683005857,0.185777291529669,7.39518171863953,1.41215019887464e-13,4.39055916180545e-11
"KMT2B",805.513293428375,-3.68686395804743,0.498983764240796,-7.38874533053595,1.48220743737203e-13,4.54254230770602e-11
"BISPR",146.22338935724,1.25885551854554,0.171036397696635,7.36016155332246,1.83687785872027e-13,5.55021700044028e-11
"LINC02397",32.7463493414129,1.96015315454937,0.267822092436064,7.31886281941926,2.50081079343152e-13,7.45137415992868e-11
"TNFSF8",114.647525486869,1.29977719142795,0.177802507210294,7.3102298264594,2.66685850865766e-13,7.83727610770313e-11
"PSMB9",1131.29769177468,1.29288940672798,0.176951619502937,7.30645704379398,2.74278129800842e-13,7.94567863540025e-11
"PVRIG",77.4319316651818,1.82130956539534,0.249332213484268,7.30475031663033,2.77782080667048e-13,7.94567863540025e-11
"NKG7",424.71272491969,1.70615495268656,0.233696697328751,7.30072342565646,2.86224566738232e-13,8.07944161873064e-11
"RCSD1",415.614510518921,1.01229223652224,0.138912710930684,7.28725420258597,3.16335707677208e-13,8.81344147636254e-11
"HLA-DOB",281.490575331734,1.22716580145466,0.168792486418604,7.27026319412877,3.58787754940275e-13,9.86804321376119e-11
"SRGN",1629.0511570985,1.15730375569484,0.159250727900924,7.26718031967081,3.67068680357756e-13,9.96800556925941e-11
"IGHVIII-22-2",7393.58197261926,2.06907846342005,0.284804652718218,7.26490400937084,3.73303267870387e-13,1.00105937570293e-10
"MIR1182",402.635357699318,1.78155166457881,0.245542345932157,7.25557808701173,3.99949959031675e-13,1.05927487297611e-10
"RBP5",83.3920064355785,1.79712546738493,0.247804717972226,7.252184228334,4.10103536859536e-13,1.05999411762019e-10
"S1PR4",91.1714689810505,1.55383638576057,0.21424765917691,7.25252444638159,4.09074380143757e-13,1.05999411762019e-10
"MIR4753",37278.1765730657,1.5998735801398,0.220714516512408,7.24861058266574,4.21068578782777e-13,1.07537907388416e-10
"CD53",964.84153428221,1.18619696245313,0.163905269572522,7.23708862775936,4.58418601674146e-13,1.15699461902535e-10
"CD74",63557.2397588503,1.07470923141044,0.148954153754399,7.21503364842355,5.39206417285271e-13,1.34506921744429e-10
"MIR4765",40398.8323006909,1.64503400147818,0.228556947338951,7.19747975561899,6.13356521656211e-13,1.51245258150468e-10
"NCF1C",181.878028980194,1.29975274292241,0.180711832527295,7.1924053048717,6.36597185978439e-13,1.55192266259039e-10
"APOBEC3G",755.092841649416,0.921724881940757,0.128399782120233,7.17855487540982,7.04521129634529e-13,1.69821256112916e-10
"CD22",120.798603029374,1.89381863021069,0.263997467331762,7.17362423720054,7.30379094899882e-13,1.74098030254302e-10
"MIR4261",7163.74736017095,1.74945005266553,0.244460991748715,7.15635668558451,8.28494069661006e-13,1.95315200839973e-10
"VPREB3",29.2380152674503,1.96489391988276,0.274797605513571,7.15033130005102,8.65687122125689e-13,2.01865063380026e-10
"PNOC",150.208279665162,1.66662336776209,0.233490291444231,7.13787009067208,9.47881482179879e-13,2.18654854163494e-10
"ICAM4",59.6078939227539,1.46839436541149,0.205854715689159,7.13315874497022,9.80913142441648e-13,2.23867336646816e-10
"GZMA",172.156079437161,1.51376640735822,0.21226228982714,7.13158427053147,9.92201758382679e-13,2.2406004550088e-10
"FAM30A",492.190715913839,1.79629939139083,0.251999023460299,7.12819981095612,1.01690087634005e-12,2.27245567709615e-10
"IGHG3",1336.31474495255,2.00598718635491,0.281919406071745,7.11546329607549,1.11537526705864e-12,2.46681913445453e-10
"CD2",414.296236204877,1.20545358036343,0.169521160969882,7.11093277952244,1.1526127172424e-12,2.52316332887768e-10
"GBP5",254.961649071985,1.60853082269723,0.226380616344672,7.1054264657014,1.19951559144021e-12,2.59931393769361e-10
"ITGA4",515.41395509329,1.24492609308169,0.175514168475982,7.09302333761195,1.3121331889948e-12,2.81491933035055e-10
"MIR941-3",4140.93062252809,1.82865516512964,0.258754077734571,7.06715496482135,1.58142323300204e-12,3.35903689283096e-10
"FCRL3",45.8195869635027,3.91822480850176,0.555543086605531,7.05296295277981,1.75147495906996e-12,3.68376395067919e-10
"MIR155",15804.5976954997,1.73835235277047,0.246522314585814,7.05150102006428,1.76997930178774e-12,3.68654038458761e-10
"CCL5",2464.65359756703,1.3074711743086,0.185631891039215,7.0433542802858,1.87666252558372e-12,3.79811709069317e-10
"GZMM",58.7406461059423,1.62897810792235,0.231261076691397,7.0438922590338,1.86942716827061e-12,3.79811709069317e-10
"HLA-DRA",16704.312275125,1.13875785051962,0.161662870692172,7.0440283884849,1.86760068523402e-12,3.79811709069317e-10
"MIRLET7C",9342.80885245013,1.73443291408803,0.246348020661138,7.04057986515675,1.91441440200641e-12,3.83831141740593e-10
"BANK1",199.266357106362,1.18102981113419,0.168062143533855,7.027339924986,2.10508092269157e-12,4.1815093550465e-10
"HLA-F",1921.73744693462,1.15759678017666,0.165430002932518,6.99750202294847,2.60566301690438e-12,5.12837511024309e-10
"CD3G",814.590253436969,1.54847843383923,0.221779437889245,6.98206492259452,2.90872644865487e-12,5.67280986390846e-10
"IL10RA",637.790361218082,1.04874797946657,0.150396912157043,6.9732015400122,3.09808296561787e-12,5.98767332084686e-10
"IGHEP1",1217.88559433559,1.88544625059872,0.271216924678681,6.95180159878471,3.60650385469871e-12,6.90806492811173e-10
"EOMES",89.6038044384646,2.12772699083379,0.306191986003341,6.94899634247963,3.67894085762292e-12,6.98445293969774e-10
"EPSTI1",305.835525347667,1.17746554820814,0.169646842532838,6.940686490998,3.90199091925987e-12,7.27907923398974e-10
"NCF4",430.385436023649,0.95987361262232,0.138294460658782,6.94079580664219,3.89897238860162e-12,7.27907923398974e-10
"RHOF",328.93050695436,1.53536135001612,0.221445667559554,6.93335465505648,4.10976140679245e-12,7.60057857413091e-10
"CD8A",290.033295070096,1.24032753547495,0.179079701180219,6.92612019844018,4.32538993531946e-12,7.93099062242806e-10
"HTN1",601.614317999409,-2.6242514058584,0.379070319414881,-6.92286172631268,4.42609754878363e-12,8.0468703994962e-10
"HLA-E",20048.7852933953,0.760480544050718,0.110022764886836,6.91202902265644,4.77770074246656e-12,8.61311042253237e-10
"CD72",49.8050343083435,1.96691662552336,0.285540012147545,6.88840982645546,5.64194783771083e-12,1.00093005064776e-09
"IGHD2-2",6461.12144319488,1.65929484530737,0.240926212578372,6.88714950336758,5.69213938279151e-12,1.00093005064776e-09
"MIR5692C2",4.58627339568206,2.89384019008694,0.420140804592174,6.88778656692477,5.66671428652048e-12,1.00093005064776e-09
"CD69",63.9369534255347,1.53522483761023,0.223423731886259,6.8713597461159,6.35927963251966e-12,1.1091514305402e-09
