"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRG-GCC1-5",12162.4200469089,1.65322787702029,0.224920574836732,7.35027410551637,1.97800801171674e-13,2.23629421577302e-10
"MIR4778",1816.43059528505,1.7052678495471,0.236839140757599,7.20010993154387,6.01640332803522e-13,6.46191799447623e-10
"MIR4753",34196.7257477299,1.47216122797928,0.204843587007068,7.18675770859494,6.63479968424427e-13,6.78676819129768e-10
"MIR4742",436807.403259593,1.42032286507699,0.197960858559557,7.17476614019475,7.24308902105567e-13,7.07221796642259e-10
"MIR185",10756.6159720434,1.62892672555692,0.228371385672401,7.13279696035831,9.83495847373801e-13,9.18542360758114e-10
"ISG15",1445.03236690901,1.6635470296901,0.233855003503043,7.11358322366813,1.13068251983442e-12,1.01200796702346e-09
"IFI6",11522.3524140833,1.73686365776075,0.24635126467673,7.05035413574967,1.78463005213949e-12,1.53342552600034e-09
"MIR1285-2",1016.94656939591,1.50503128414469,0.215871381325343,6.9718888854305,3.12713508088124e-12,2.58361494893885e-09
"MIR6724-2",22952.220574404,1.61279753217747,0.231852834956212,6.9561259946727,3.49757087023842e-12,2.78264147642931e-09
"MIR4261",6598.37199176747,1.55789755479123,0.225417818917695,6.91115530383183,4.80722409228009e-12,3.68799931165245e-09
"RPS4Y1",109.452003793062,-8.97780268784833,1.33992852731618,-6.70021012675244,2.08120054062474e-11,1.54159547631587e-08
"MIR4666A",30997.7999907075,1.30795715291789,0.195691417442434,6.6837737189095,2.32866287145803e-11,1.66740023805966e-08
"KRT13",4757.16849969908,2.63964475103967,0.395811783707292,6.66893927794663,2.5765882213247e-11,1.78540940587987e-08
"IGHD2-2",6019.25332207089,1.49993190749639,0.226949395620237,6.60910289448967,3.86655916512421e-11,2.59554866956353e-08
"IL6",19.7372344517375,2.26423653155819,0.34289581440227,6.60327842002145,4.02163220327398e-11,2.61783882904632e-08
"IGHA1",11783.9027541787,1.52214072369369,0.231484729563103,6.57555566004949,4.8471806491356e-11,3.06242022129653e-08
"CD27",1350.12332994898,1.22942469426268,0.187615447768876,6.55289694363125,5.64314628073466e-11,3.46344072161318e-08
"IGLV6-57",85862.241444178,1.34443789358682,0.206943577984581,6.49663984106329,8.21337702657066e-11,4.90087644188234e-08
"TRP-AGG2-8",566.73049959334,1.63147351373528,0.251291454495992,6.49235572696842,8.45044317569474e-11,4.90605323938104e-08
"IGLL5",168669.358477942,1.44152728190143,0.225117957479004,6.4034308859429,1.51923644686553e-10,8.58808371450488e-08
"MIR4264",141.225850970176,2.54095715483824,0.397487518332534,6.39254577224863,1.63146366280486e-10,8.98601818992597e-08
"CFAP54",80.4816468339899,1.31915583402674,0.206687778825841,6.38236010624647,1.74379305193345e-10,9.36460463714563e-08
"IGHVIII-22-2",6843.69739554564,1.73332491730081,0.272902473893746,6.3514445016562,2.13302371336701e-10,1.11754835089846e-07
"EPSTI1",291.810353278999,1.02202498679974,0.161360287915679,6.33380740702331,2.39184046893253e-10,1.18183308852932e-07
"MIR1286",83.644693727676,2.11999840801929,0.334809568649839,6.33195286672493,2.42077444696662e-10,1.18183308852932e-07
"MIR656",5127.07081181145,1.85083571666544,0.292175080895611,6.33468025744027,2.37833969145605e-10,1.18183308852932e-07
"MIR4677",3891.21272378054,1.61932444498662,0.256779684876379,6.30627943081326,2.85822815388262e-10,1.36439108830117e-07
"EVI2A",344.481010362738,0.906796319029409,0.144400142791772,6.27974669205853,3.39125099850313e-10,1.58364049345317e-07
"MIR3125",15681.5446720405,1.34354696491371,0.214527418300611,6.26282167359625,3.78072895532163e-10,1.72795401466519e-07
"PRKY",6.3203152408323,-4.4028277382636,0.704234455061634,-6.25193457465564,4.05399231426442e-10,1.81424601880654e-07
"BST2",871.138551355986,1.02842045348831,0.164605889907608,6.24777432973727,4.1634262056141e-10,1.82519506781217e-07
"MIR6816",37795.4509892767,1.39589639185281,0.224710534955159,6.21197574084083,5.23225063560981e-10,2.24787951807069e-07
"CCL25",7.32892916593535,3.37423184219282,0.544520681683465,6.196700980688,5.76588911334098e-10,2.38186661622457e-07
